learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
11000.0,0.812252241,1.77300979224787E-7,11000.0,70.1,40.19999999999999,70.1,40.19999999999999,11000.0,1079256.0,10.0,10964.699999999999,21.688220048885707,97989.6,1500.4260372751914,25.2,0.6289320754704403,22.1,0.31446603773522014,22.1,0.31446603773522014,2.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.882733584,1.9707434190876368E-7,12000.0,70.8,41.599999999999994,70.8,41.599999999999994,12000.0,1084448.0,10.0,11984.300000000001,27.08343076905552,98439.20000000001,1541.7768450719443,25.4,0.6531972647421809,22.200000000000003,0.3265986323710904,22.200000000000003,0.3265986323710904,2.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.952094872,2.16598217276521E-7,13000.0,70.8,41.599999999999994,70.8,41.599999999999994,13000.0,1088056.0,10.0,13001.7,28.469106062537286,98797.6,1670.8027824305827,25.599999999999998,0.7333333333333333,22.3,0.36666666666666664,22.3,0.36666666666666664,2.5999999999999996,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.033880463,2.397895757146614E-7,14000.0,70.5,40.99999999999999,70.5,40.99999999999999,14000.0,1096104.0,10.0,13995.0,27.943593978664314,99580.8,1943.6419240407656,26.0,0.8563488385776752,22.5,0.42817441928883754,22.5,0.42817441928883754,2.6999999999999997,0.2603416558635552,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.101047103,2.5892325651724506E-7,15000.0,72.2,44.39999999999999,72.2,44.39999999999999,15000.0,1101152.0,10.0,15012.599999999999,27.014070407844876,100066.4,1956.3300062446854,26.199999999999996,0.8537498983243798,22.6,0.42687494916219,22.6,0.42687494916219,2.8,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.166827447,2.778017038282027E-7,16000.0,71.2,42.39999999999999,71.2,42.39999999999999,16000.0,1109360.0,10.0,16012.099999999999,27.349771479849753,100882.4,2115.6638422332912,26.6,0.9333333333333332,22.8,0.4666666666666666,22.8,0.4666666666666666,2.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.238923924,2.9848820665491944E-7,17000.0,73.2,46.4,73.2,46.4,17000.0,1109112.0,10.0,17019.6,26.032543735358473,100838.4,2382.836643815751,27.2,1.0934146311237816,23.1,0.5467073155618908,23.1,0.5467073155618908,3.2,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.326566236,3.2405170590716925E-7,18000.0,70.8,41.599999999999994,70.8,41.599999999999994,18000.0,1127480.0,10.0,18017.0,23.759442567348167,102668.0,2778.2201176692643,27.4,1.2220201853215573,23.2,0.6110100926607787,23.2,0.6110100926607787,3.2,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.395881268,3.4435787443406046E-7,19000.0,70.0,40.10924074488133,69.63562753036436,39.637826961770614,19000.0,1132408.0,10.0,19003.5,24.1832127265542,103158.4,2825.750996342978,27.6,1.2310790208412925,23.299999999999997,0.6155395104206463,23.299999999999997,0.6155395104206463,3.3000000000000003,0.334995854037363,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.470919987,3.5898066476653425E-7,20000.0,65.3,30.552775887603573,53.6096256684492,18.16037735849058,20000.0,753264.0,10.0,12052.0,3256.0724364041885,66108.0,17105.60218044239,17.9,4.719816380609172,14.8,3.8407175255557533,14.8,3.8407175255557533,2.3000000000000007,0.6506407098647712,0.0,0.0,0.0,0.0,1.0,0.0
