evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
61000.0,61000.0,72.7655737704918,45.531147540983596,72.58490379220436
62000.0,62000.0,73.03709677419354,46.074193548387086,72.86113185493035
63000.0,63000.0,73.26190476190476,46.523809523809526,73.09019457490655
64000.0,64000.0,73.51875,47.0375,73.35136325041668
65000.0,65000.0,73.74000000000001,47.48000000000001,73.57658131830708
66000.0,66000.0,73.99545454545454,47.990909090909085,73.83609256379768
67000.0,67000.0,74.20149253731343,48.402985074626855,74.04576714015435
68000.0,68000.0,74.40735294117647,48.814705882352946,74.25515547797272
69000.0,69000.0,74.6072463768116,49.2144927536232,74.45843902154581
70000.0,70000.0,74.81285714285715,49.625714285714295,74.66737549929596
71000.0,71000.0,75.02112676056339,50.04225352112677,74.87889175330747
72000.0,72000.0,75.22222222222223,50.44444444444445,75.0831028799687
73000.0,73000.0,75.40821917808219,50.81643835616438,75.27204606187499
74000.0,74000.0,75.58378378378379,51.16756756756757,75.45041984836544
75000.0,75000.0,75.75466666666667,51.50933333333334,75.62401136759699
76000.0,76000.0,75.90789473684211,51.81578947368421,75.77978253392948
77000.0,77000.0,76.07922077922078,52.15844155844156,75.95368025274811
78000.0,78000.0,76.23589743589744,52.47179487179488,76.11278641202092
79000.0,79000.0,76.4113924050633,52.82278481012659,76.29074531158554
80000.0,80000.0,76.5925,53.184999999999995,76.47428327344909
81000.0,81000.0,76.75185185185185,53.5037037037037,76.635896672374
82000.0,82000.0,76.91219512195121,53.82439024390244,76.79845094242506
83000.0,83000.0,77.06144578313253,54.12289156626506,76.94980508002615
84000.0,84000.0,77.22142857142858,54.44285714285715,77.11189262901027
85000.0,85000.0,77.37647058823529,54.752941176470586,77.26896616941299
86000.0,86000.0,77.49651162790697,54.993023255813945,77.3908268884787
87000.0,87000.0,77.65172413793103,55.30344827586207,77.5479803228712
88000.0,88000.0,77.78977272727273,55.57954545454547,77.68784675449211
89000.0,89000.0,77.93370786516854,55.867415730337086,77.8335854082485
90000.0,90000.0,78.07333333333332,56.146666666666654,77.97495479809817
91000.0,91000.0,78.20769230769231,56.415384615384625,78.11099582772248
92000.0,92000.0,78.33478260869565,56.6695652173913,78.23969955675888
93000.0,93000.0,78.45591397849464,56.91182795698926,78.36238363679561
94000.0,94000.0,78.58191489361703,57.16382978723404,78.4899249983974
95000.0,95000.0,78.68842105263157,57.37684210526315,78.59785619146281
96000.0,96000.0,78.80208333333333,57.60416666666666,78.71294378543485
97000.0,97000.0,78.91030927835051,57.82061855670102,78.8225429097911
98000.0,98000.0,79.04489795918367,58.08979591836734,78.95858521691018
99000.0,99000.0,79.15050505050505,58.3010101010101,79.06549828596928
100000.0,100000.0,79.244,58.48800000000001,79.16022410088557
# COMPLETED
