evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
65000.0,65000.0,81.06461538461538,62.108582861614735,76.83418031244118
66000.0,66000.0,81.11969696969697,62.21983498491076,76.8992621704794
67000.0,67000.0,81.1955223880597,62.372764293195814,76.98980896372868
68000.0,68000.0,81.26323529411764,62.50882327081252,77.07381149458378
69000.0,69000.0,81.29855072463769,62.583846087134546,77.10432931156849
70000.0,70000.0,81.36142857142858,62.710763254074166,77.1825813221406
71000.0,71000.0,81.4169014084507,62.823616650109216,77.24269969125687
72000.0,72000.0,81.45694444444445,62.90187625306876,77.2903555026365
73000.0,73000.0,81.52328767123288,63.035407804359544,77.37368315104341
74000.0,74000.0,81.6054054054054,63.19941776452366,77.48147167813659
75000.0,75000.0,81.66266666666667,63.31408987472976,77.55491725691157
76000.0,76000.0,81.72894736842106,63.447891001747855,77.64217170090811
77000.0,77000.0,81.78051948051947,63.5498571465968,77.70343293070565
78000.0,78000.0,81.83717948717948,63.66189278172646,77.7765576959277
79000.0,79000.0,81.89113924050633,63.77095419035659,77.83596194961733
80000.0,80000.0,81.91375,63.81654405660421,77.85650883046125
81000.0,81000.0,81.95555555555556,63.898697149069235,77.89941633652887
82000.0,82000.0,82.00121951219512,63.99017726202545,77.95057965818096
83000.0,83000.0,82.06385542168675,64.11593245164569,78.03110796293016
84000.0,84000.0,82.10714285714286,64.2025656058544,78.08398950131233
85000.0,85000.0,82.1635294117647,64.31517971481759,78.15480821878332
86000.0,86000.0,82.21046511627907,64.40958356893486,78.2127598974651
87000.0,87000.0,82.25977011494253,64.50930058401762,78.27054119502168
88000.0,88000.0,82.325,64.64036356759415,78.3575443869316
89000.0,89000.0,82.37865168539325,64.74863700944317,78.42184920198129
90000.0,90000.0,82.42444444444445,64.83993852627715,78.47774028518559
91000.0,91000.0,82.45934065934067,64.90972293747883,78.5191365667223
92000.0,92000.0,82.49565217391304,64.98287344504843,78.56115874114703
93000.0,93000.0,82.52043010752688,65.03249984114133,78.589679424703
94000.0,94000.0,82.5627659574468,65.11778045091341,78.64309167665607
95000.0,95000.0,82.59263157894738,65.17800042700983,78.67679294427109
96000.0,96000.0,82.63541666666666,65.26365267903557,78.73127663374926
97000.0,97000.0,82.69484536082474,65.38281464268302,78.80234378946305
98000.0,98000.0,82.7561224489796,65.5055104989781,78.88522377989355
99000.0,99000.0,82.78787878787878,65.56909922059684,78.91923990498813
100000.0,100000.0,82.82000000000001,65.63366922699646,78.95536283012396
# COMPLETED
